Company,Board of Directors or Executive Management,Position,Approximate Categorization,Special Area,Name,Nationality,Year of Birth,Educational Background,Gender,Remarks
Instalco,Board of Directors,Board Member,Board Member,Board Member,Carina Qvarngård,Sweden (predicted),1959,Engineering,Female,
Instalco,Board of Directors,Board Member,Board Member,Board Member,Ulf Wretskog,Sweden (predicted),1967,Engineering,Male,
Instalco,Board of Directors,Board Member,Board Member,Board Member,Camilla Öberg,Sweden (predicted),1964,Business,Female,
Instalco,Executive Management,CEO,CEO,CEO,Robin Boheman,Sweden (predicted),1984,Business,Male,
Instalco,Executive Management,CFO,Support Function,Finance,Christina Kassberg,Sweden (predicted),1968,Business,Female,
Instalco,Executive Management,Head of Communications and Sustainability,Support Function,Comms and Marketing,Fredrik Trahn,Sweden (predicted),1969,"Arts, Humanities",Male,
Instalco,Executive Management,Head of Division Norway,Business Unit Head,Other: Division Head,Roger Aksnes,Norway (predicted),1972,Other: Plumbing and Heating Technician,Male,
Instalco,Executive Management,Head of Division North,Business Unit Head,Other: Division Head,Johan Larsson,Sweden (predicted),1976,Other: Sheet Metal & Ventilation Installations,Male,
Instalco,Executive Management,Head of Division South,Business Unit Head,Other: Division Head,Patrik Persson,Sweden (predicted),1964,Other: Plumbing and Heating Technician,Male,
Instalco,Executive Management,Head of Division Technical Consulting,Business Unit Head,Other: Technical Consulting,Anders Lundin,Sweden (predicted),1966,"Engineering, Business",Male,
Instalco,Executive Management,Head of M&A,Support Function,Other: Mergers & Acquisitions,Gustaf Larsson Ernefeldt,Sweden (predicted),1987,Business,Male,
IPC,Board of Directors,Chair of the Board of Directors,Chair,Chair,Ashley Heppenstall,UK (predicted),N/A,Engneering,Male,
IPC,Board of Directors,"President, CEO, and Director",CEO,CEO,William Lundin,Canada,1993,Engineering,Male,
IPC,Board of Directors,Director,Board Member,Board Member,Chris Bruijnzeels,Netherlands (predicted),N/A,Engineering,Male,
IPC,Board of Directors,Director,Board Member,Board Member,Donald K. Charter,Canada,N/A,"Business, Law",Male,
IPC,Board of Directors,Director,Board Member,Board Member,L.H. (Harry) Lundin,Sweden (predicted),N/A,"Engineering, Business",Male,
IPC,Board of Directors,Director,Board Member,Board Member,Emily Moore,Canada,N/A,"Engineering, Sciences",Female,
IPC,Board of Directors,Director,Board Member,Board Member,Mike Nicholson,Scotland,1971,Business,Male,
IPC,Board of Directors,Director,Board Member,Board Member,Deborah Starkman,Canada,N/A,"Humanities, Business",Female,
IPC,Executive Management,"President, CEO, and Director",CEO,CEO,William Lundin,Canada,1993,Engineering,Male,
IPC,Executive Management,Chief Financial Officer,Support Function,Finance,Christophe Nerguararian,France,1975,"Engineering, Business",Male,
IPC,Executive Management,Chief Operating Officer,Support Function,Other: Operations,Nicki Duncan,UK (predicted),1985,Other: Oil and Gas Operations,Male,
IPC,Executive Management,General Counsel and Corporate Secretary,Support Function,Legal Affairs,Jeffrey Fountain,Canada (predicted),1969,Law,Male,
IPC,Executive Management,Senior VP Corporate Planning and Investor Relations,Support Function,Other: Corporate Planning,Rebecca Gordon,UK (predicted),1976,Business,Female,
IPC,Executive Management,Senior Vice President Canada,Business Unit Head,Other: Canada Division Head,Chris Hogue,Canada (predicted),1972,Engineering,Male,
IPC,Executive Management,"Vice President Asset Management and Corporate Planning, Canada",Business Unit Head,Other: Asset Management,Ryan Adair,Canada (predicted),1976,Engineering,Male,
IPC,Executive Management,"Vice President Commercial, Canada",Support Function,Other: Commercial,Curtis White,Canada (predicted),1985,Business,Male,
Intrum,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Magnus Lindquist,Sweden (predicted),1963,Business,Male,
Intrum,Board of Directors,Board Member,Board Member,Board Member,Michel van der Bel,Netherlands (predicted),1960,Business,Male,
Intrum,Board of Directors,Board Member,Board Member,Board Member,Debra Davies,UK (predicted),1963,Business,Female,
Intrum,Board of Directors,"Board Member, Chair of the Risk Committee",Board Member,Board Member,Geeta Gopalan,India (predicted),1964,Business,Female,
Intrum,Board of Directors,Board Member,Board Member,Board Member,Andreas Näsvik,Sweden (predicted),1975,Business,Male,
Intrum,Board of Directors,"Board Member, Member of Risk and Audit Committees",Board Member,Board Member,Philip Thomas,Germany (predicted),1972,Business,Male,
Intrum,Board of Directors,"Board Member, Chair of Audit Committee",Board Member,Board Member,Ragnhild Wiborg,Norway (predicted),1961,Business,Female,
Intrum,Executive Management,President & CEO,CEO,CEO,Andrés Rubio,Spain,1968,Business,Male,
Intrum,Executive Management,Chief Financial Officer,Support Function,Finance,Johan Åkerblom,Sweden (predicted),1978,Engineering,Male,
Intrum,Executive Management,Chief Investment Officer,Support Function,Other: Investment,Javier Aranguren,Spain,1976,"Business, Law",Male,
Intrum,Executive Management,Chief Risk Officer,Support Function,Other: Risk Management,Johan Brodin,Sweden,1968,Business,Male,
Intrum,Executive Management,Chief Operating Officer of Ophelos Limited,Business Unit Head,Sales,Paul Chong,UK (predicted),1968,Business,Male,
Intrum,Executive Management,Chief Brand & Communications Officer,Support Function,Comms and Marketing,Anna Fall,Sweden,1969,Business,Female,
Intrum,Executive Management,"Managing Director Eastern Europe, Hungary",Business Unit Head,Country Head,Péter Felfalusi,Hungary,1970,Business,Male,
Intrum,Executive Management,Chief Information & Technology Officer,Support Function,Innovation,Daniel Frick,Sweden,1971,Engineering,Male,
Intrum,Executive Management,"Global Head of Servicing, Managing Director Greece",Business Unit Head,Country Head,Georgios Georgakopoulos,Greece,1969,"Law, Business",Male,
Intrum,Executive Management,"Head of Product Development, CEO Ophelos Limited",Business Unit Head,Other: Product Development,Amon Ghaiumy,USA (predicted),1989,Business,Male,
Intrum,Executive Management,"Managing Director Middle Europe, Switzerland",Business Unit Head,Country Head,Thomas Hutter,Switzerland,1967,Business,Male,
Intrum,Executive Management,Chief Operating Officer,Support Function,Other: Operations,Annette Kumlien,Sweden,1965,Business,Female,
Intrum,Executive Management,Chief Legal Officer,Support Function,Legal Affairs,Niklas Lundquist,Sweden,1970,Law,Male,
Intrum,Executive Management,Head of Investment Management,Support Function,Other: Investment,Santiago Pardo,Colombia,1970,Business,Male,
Intrum,Executive Management,Managing Director Italy,Business Unit Head,Country Head,Enrico Risso,Italy,1973,Engineering,Male,
Intrum,Executive Management,"Chief of Staff, Deputy COO",Support Function,Other: Chief of Staff,Mohammed Salloum,Lebanon (predicted),1985,Business,Male,
Intrum,Executive Management,"Managing Director Northern Europe, Finland",Business Unit Head,Country Head,Tommi Sova,Finland,1975,Business,Male,
Intrum,Executive Management,Managing Director Spain,Business Unit Head,Country Head,Enrique Tellado Nogueira,Spain,1974,Business,Male,
Intrum,Executive Management,Chief Human Resources Officer,Support Function,Human Resources,Chantal Verbeek-Vingerhoed,Netherlands,1972,Humanities,Female,
Investor AB,Board of Directors,Chair,Board Member,Chair,Jacob Wallenberg,Sweden,1956,Business,Male,
Investor AB,Board of Directors,Vice Chair,Board Member,Vice Chair,Marcus Wallenberg,Sweden,1956,Business,Male,
Investor AB,Board of Directors,Director,Board Member,Board Member,Gunnar Brock,Sweden,1950,Business,Male,
Investor AB,Board of Directors,Director,Board Member,Board Member,Johan Forssell,Sweden,1971,Business,Male,
Investor AB,Board of Directors,Director,Board Member,Board Member,Magdalena Gerger,Sweden,1964,Business,Female,
Investor AB,Board of Directors,Director,Board Member,Board Member,Tom Johnstone,UK,1955,"Business, Sciences",Male,
Investor AB,Board of Directors,Director,Board Member,Board Member,Isabelle Kocher,France,1966,Sciences,Female,
Investor AB,Board of Directors,Director,Board Member,Board Member,Sven Nyman,Sweden,1959,Business,Male,
Investor AB,Board of Directors,Director,Board Member,Board Member,Grace Reksten Skaugen,Norway,1953,"Business, Sciences",Female,
Investor AB,Board of Directors,Director,Board Member,Board Member,Hans Stråberg,Sweden,1957,Engineering,Male,
Investor AB,Board of Directors,Director,Board Member,Board Member,Sara Öhrvall,Sweden,1971,Business,Female,
Investor AB,Executive Management,President and CEO,CEO,CEO,Johan Forssell,Sweden,1971,Business,Male,
Investor AB,Executive Management,Head of Patricia Industries,Business Unit Head,Other: Investment,Christian Cederholm,Sweden,1978,Business,Male,
Investor AB,Executive Management,"Managing Director, General Counsel",Support Function,Legal Affairs,Petra Hedengran,Sweden,1964,Law,Female,
Investor AB,Executive Management,Chief Communications & Sustainability Officer,Support Function,Comms and Marketing,Jacob Lund,"Sweden, Norway",1974,"Humanities, Law",Male,
Investor AB,Executive Management,Head of Human Resources,Support Function,Human Resources,Jessica Häggström,Sweden,1969,Humanities,Female,
Investor AB,Executive Management,Head of Listed Companies,Business Unit Head,Other: Listed Companies,Daniel Nodhäll,Sweden,1978,Business,Male,
Investor AB,Executive Management,Chief Financial Officer,Support Function,Finance,Helena Saxon,Sweden,1970,Business,Female,
JM,Board of Directors,Chair,Board Member,Chair,Fredrik Persson,Sweden,1968,Business,Male,
JM,Board of Directors,Director,Board Member,Board Member,Stefan Björkman,Finland,1963,Engineering,Male,
JM,Board of Directors,Director,Board Member,Board Member,Kerstin Gillsbro,Sweden,1961,Engineering,Female,
JM,Board of Directors,Director,Board Member,Board Member,Camilla Krogh,Norway,1977,"Engineering, Business",Female,
JM,Board of Directors,Director,Board Member,Board Member,Jenny Larsson,Sweden,1973,Engineering,Female,
JM,Board of Directors,Director,Board Member,Board Member,Olav Line,Norway,1958,Engineering,Male,
JM,Board of Directors,Director,Board Member,Board Member,Thomas Thureson,Sweden,1957,Business,Male,
JM,Executive Management,President and CEO,CEO,CEO,Johan Skoglund,Sweden,1962,"Engineering, Business",Male,
JM,Executive Management,Chief Financial Officer and Head of Investor Relations,Support Function,Finance,Tobias Bjurling,Sweden,1972,Business,Male,
JM,Executive Management,"Chief Legal Counsel, Legal Affairs and Development",Support Function,Legal Affairs,Maria Bäckman,Sweden,1973,Law,Female,
JM,Executive Management,"President, JM Suomi Oy",Business Unit Head,Country Head,Markus Heino,Finland,1965,Law,Male,
JM,Executive Management,Director of Human Resources,Support Function,Human Resources,Malin Lundgren,Sweden,1978,Business,Female,
JM,Executive Management,"Director of Operations Development (Product, Sustainability, Process and IT)",Support Function,Innovation,Per Lundquist,Sweden,1967,Engineering,Male,
JM,Executive Management,"Business Unit Manager, JM Residential Sweden",Business Unit Head,Country Head,Susanne Persson,Sweden,1969,Engineering,Female,
JM,Executive Management,"President, JM Norge AS",Business Unit Head,Country Head,Hilde Vatne,Norway,1965,Business,Female,
JM,Executive Management,"Business Unit Manager, JM Residential Stockholm",Business Unit Head,Country Head,Pär Vennerström,Sweden,1974,Engineering,Male,
JM,Executive Management,"Production Director and Business Unit Manager, JM Construction",Business Unit Head,Other: Production,Anders Wimmerstedt,Sweden,1964,Engineering,Male,
JM,Executive Management,"Business Unit Manager, JM Property Development",Business Unit Head,Country Head,Mikael Åslund,Sweden,1972,Engineering,Male,
Kindred Group,Board of Directors,Chairperson of the Board of Directors,Board Member,Chair,Pascal Chaffard,France,N/A,Business,Male,
Kindred Group,Board of Directors,Board Member,Board Member,Board Member,Heidi Skogster,Finland,1978,Business,Female,
Kindred Group,Board of Directors,Board Member,Board Member,Board Member,Célia Vérot,France,N/A,Law,Female,
Kindred Group,Board of Directors,Board Member,Board Member,Board Member,Martin Randel,Sweden,1974,Business,Male,
Kindred Group,Board of Directors,Board Member,Board Member,Board Member,Edeline Minaire,France,N/A,Business,Female,
Kindred Group,Executive Management,Chief Executive Officer,CEO,CEO,Nils Andén,Sweden,1980,N/A,Male,
Kindred Group,Executive Management,Chief Product Officer,Support Function,Other: Product,Erik Bäcklund,Sweden,1976,N/A,Male,
Kindred Group,Executive Management,Chief HR Officer,Support Function,Human Resources,Rachel Randle-Williams,UK,1985,N/A,Female,
Kindred Group,Executive Management,Chief Legal & Compliance Officer,Support Function,Legal Affairs,Ewout Keuleers,Belgium,1976,Law,Male,
Kindred Group,Executive Management,Chief Technology Officer,Support Function,Innovation,Sören Thörnlund,Sweden,1974,N/A,Male,
Kindred Group,Executive Management,Chief Commercial & Marketing Officer,Business Unit Head,Comms and Marketing,Neil Banbury,UK,1985,N/A,Male,
Kindred Group,Executive Management,Interim Chief Financial Officer,Support Function,Finance,Patrick Kortman,Sweden,1979,N/A,Male,
Kindred Group,Executive Management,Interim Chief Finance Operations Officer,Support Function,Finance,Usha Ganesan,"Canada, UK",1976,Business,Female,
Kinnevik,Board of Directors,Chairman,Chair,Board of Directors Member,James Anderson,UK,1959,Humanities,Male,
Kinnevik,Board of Directors,Board of Directors Director,Board Member,Board Member,Susanna Campbell,Sweden,1973,Business,Female,
Kinnevik,Board of Directors,Board of Directors Director,Board Member,Board Member,Harald Mix,Sweden,1960,Business,Male,
Kinnevik,Board of Directors,Board of Directors Director,Board Member,Board Member,Charlotte Strömberg,Sweden,1959,Business,Female,
Kinnevik,Board of Directors,Board of Directors Director,Board Member,Board Member,Cecilia Qvist,Sweden,1972,Business,Female,
Kinnevik,Executive Management,CEO,CEO,CEO,Georgi Ganev,Sweden,1976,Engineering,Male,
Kinnevik,Executive Management,Chief Financial Officer,Support Function,Finance,Samuel Sjöström,Sweden,1987,"Business, Law",Male,
Kinnevik,Executive Management,Managing Investment Director,Business Unit Head,Other: Managing Investment Director,Natalie Tydeman,UK,1971,"Business, Sciences",Female,
Kinnevik,Executive Management,Director Corporate Communication,Support Function,Comms and marketing,Torun Litzén,Sweden,1967,Business,Female,
Kinnevik,Executive Management,Chief People & Platform Officer,Support Function,Human Resources,Anna Stenberg,Sweden,1979,Business,Female,
Kinnevik,Executive Management,Senior Investment Director,Business Unit Head,Other: Senior Investment Director,Akhil Chainwala,India,1988,Business,Male,
Kinnevik,Executive Management,Senior Investment Director,Business Unit Head,Other: Senior Investment Director,Christian Scherrer,Switzerland (predicted),N/A,Business,Male,
Lagercrantz Group,Executive Management,President and CEO,CEO,CEO,Jörgen Wigh,Sweden (predicted),1965,Business,Male,
Lagercrantz Group,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Fredrik Börjesson,Sweden (predicted),1978,Business,Male,
Lagercrantz Group,Board of Directors,Board Member,Board Member,Board Member,Anna Almlöf,Sweden (predicted),1967,Business,Female,
Lagercrantz Group,Board of Directors,Board Member,Board Member,Board Member,Anders Claeson,Sweden (predicted),1956,Engineering,Male,
Lagercrantz Group,Board of Directors,Board Member,Board Member,Board Member,Anna Marsell,Sweden (predicted),1978,N/A,Female,
Lagercrantz Group,Board of Directors,Board Member,Board Member,Board Member,Ulf Södergren,Sweden (predicted),1953,"Engineering, Business",Male,
Lagercrantz Group,Executive Management,President and CEO,CEO,CEO,Jörgen Wigh,Sweden (predicted),1965,Business,Male,
Lagercrantz Group,Executive Management,"Executive Vice President, Business Development",Support Function,Other: Business Development,Jonas Ahlberg,Sweden (predicted),1966,Business,Male,
Lagercrantz Group,Executive Management,Responsible for Acquisitions,Support Function,Other: Acquisitions,Andreas Heder,Sweden (predicted),1972,N/A,Male,
Lagercrantz Group,Executive Management,Chief Financial Officer (CFO),Support Function,Finance,Peter Thysell,Sweden (predicted),1970,N/A,Male,
Lagercrantz Group,Executive Management,Head of Division Electrify,Business Unit Head,Other: Electrify,Peter Baaske,Sweden (predicted),1975,N/A,Male,
Lagercrantz Group,Executive Management,Head of Division TecSec,Business Unit Head,Other: TecSec,Martin Sirvell,Sweden (predicted),1974,N/A,Male,
Lagercrantz Group,Executive Management,Head of Division Niche Products,Business Unit Head,Other: Niche Products,Magnus Nilsson,Sweden (predicted),N/A,N/A,Male,
Lagercrantz Group,Executive Management,Head of Division International,Business Unit Head,Other: International,Patrik Klerck,Sweden (predicted),1969,N/A,Male,
Latour,Board of Directors,Board Member,Board Member,Board Member,Joakim Rosengren,Sweden (predicted),1960,Business,Male,
Latour,Board of Directors,Board Member,Board Member,Board Member,Mariana Burenstam Linder,Sweden (predicted),1957,Business,Female,
Latour,Board of Directors,Board Member,Board Member,Board Member,Anders Böös,Sweden (predicted),1964,Other: Economic College,Male,
Latour,Board of Directors,Board Member,Board Member,Board Member,Carl Douglas,Sweden (predicted),1965,Arts,Male,
Latour,Board of Directors,Board Member,Board Member,Board Member,Eric Douglas,Sweden (predicted),1968,Business,Male,
Latour,Board of Directors,Board Member,Board Member,Board Member,Johan Hjertonsson,Sweden (predicted),1968,Business,Male,
Latour,Board of Directors,Board Member,Board Member,Board Member,Lena Olving,Sweden (predicted),1956,Engineering,Female,
Latour,Board of Directors,Board Member,Board Member,Board Member,Ulrika Kolsrud,Sweden (predicted),1970,Engineering,Female,
Latour,Executive Management,President and CEO,CEO,CEO,Johan Hjertonsson,Sweden (predicted),1968,Business,Male,
Latour,Executive Management,CFO,Support Function,Finance,Anders Mörck,Sweden (predicted),1963,Business,Male,
Latour,Executive Management,Chief Investment Officer,Support Function,Other: Investment Officer,Johan Menckel,Sweden (predicted),1971,Engineering,Male,
Latour,Executive Management,Chief Operating Officer,Support Function,Other: Operations,Heléne Mellquist,Sweden (predicted),1964,Other: International Affairs,Female,
LifCo,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Carl Bennet,Sweden,1951,"Business, Medicine, Engineering",Male,
LifCo,Board of Directors,Board Member,Board Member,Board Member,Ulrika Dellby,Sweden,1966,Business,Female,
LifCo,Board of Directors,Vice Chairman,Vice Chair,Vice Chair,Dan Frohm,Sweden,1981,Engineering,Male,
LifCo,Board of Directors,Board Member,Board Member,Board Member,Erik Gabrielson,Sweden,1962,Law,Male,
LifCo,Board of Directors,Board Member,Board Member,Board Member,Ulf Grunander,Sweden,1954,Business,Male,
LifCo,Board of Directors,Board Member,Board Member,Board Member,Anna Hallberg,Sweden,1963,"Business, Law",Female,
LifCo,Board of Directors,Board Member,Board Member,Board Member,Caroline af Ugglas,Sweden,1958,Business,Female,
LifCo,Board of Directors,Board Member,Board Member,Board Member,Axel Wachtmeister,Sweden,1951,Engineering,Male,
LifCo,Board of Directors,"Board Member, CEO and President",Board Member,Board Member,Per Waldemarson,Sweden,1977,Business,Male,
LifCo,Executive Management,President and CEO,CEO,CEO,Per Waldemarson,Sweden,1977,Business,Male,
LifCo,Executive Management,Chief Financial Officer (CFO),Support Function,Finance,Therése Hoffman,Sweden,1971,Business,Female,
LifCo,Executive Management,Head of Business Area Systems Solutions,Business Unit Head,Other: Systems Solutions,Martin Linder,Sweden,1972,Engineering,Male,
Lindab Group,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Peter Nilsson,Sweden (predicted),1962,Business,Male,
Lindab Group,Board of Directors,Board Member,Board Member,Board Member,Per Bertland,Sweden (predicted),1957,Business,Male,
Lindab Group,Board of Directors,Board Member,Board Member,Board Member,Sonat Burman-Olsson,Sweden (predicted),1958,Business,Female,
Lindab Group,Board of Directors,Board Member,Board Member,Board Member,Viveka Ekberg,Sweden (predicted),1962,Business,Female,
Lindab Group,Board of Directors,Board Member,Board Member,Board Member,Anette Frumerie,Sweden (predicted),1968,Engineering,Female,
Lindab Group,Board of Directors,Board Member,Board Member,Board Member,Marcus Hedblom,Sweden (predicted),1970,"Engineering, Business",Male,
Lindab Group,Board of Directors,Board Member,Board Member,Board Member,Staffan Pehrson,Sweden (predicted),1968,"Engineering, Business",Male,
Lindab Group,Executive Management,President and CEO,CEO,CEO,Ola Ringdahl,Sweden (predicted),1972,Business,Male,
Lindab Group,Executive Management,CFO,Support Function,Finance,Lars Ynner,Sweden (predicted),1970,Business,Male,
Lindab Group,Executive Management,Director of Business Development,Support Function,Other: Business Development,Lars Christensson,Sweden (predicted),1971,Engineering,Male,
Lindab Group,Executive Management,"Director of Operations, Ventilation",Business Unit Head,Other: Ventilation Systems,Karel Kleinmond,Czech Republic (predicted),1969,Engineering,Male,
Lindab Group,Executive Management,Director of Region West Europe,Business Unit Head,Other: West Europe,Mette Brøndum,Denmark (predicted),1963,Business,Female,
Lindab Group,Executive Management,Director of Region North Europe,Business Unit Head,Other: North Europe,Joakim Lönnberg,Sweden (predicted),1966,"Business, Other: Aviation",Male,
Lindab Group,Executive Management,Director of Region Mid Europe,Business Unit Head,Other: Mid Europe,Pascal Gelugne,France (predicted),1964,Business,Male,
Lindab Group,Executive Management,Director of Region East Europe,Business Unit Head,Other: East Europe,Sorin Badea,Romania (predicted),1974,Business,Male,
Lindab Group,Executive Management,Group HR Manager,Support Function,Human Resources,Paula Terne,Sweden (predicted),1963,N/A,Female,
Lindab Group,Executive Management,Corporate Communications & Sustainability,Support Function,Comms and Marketing,Catharina Paulcén,Sweden (predicted),1973,N/A,Female,
Lindab Group,Executive Management,Group General Counsel,Support Function,Legal Affairs,Ola Ranstam,Sweden (predicted),1977,N/A,Male,
Lindab Group,Executive Management,Group Financial Manager,Support Function,Finance,Madeleine Hjelmberg,Sweden (predicted),1974,N/A,Female,
Lindab Group,Executive Management,Chief Information Officer (CIO),Support Function,Other: IT/IS,Thomas Lorentzon,Sweden (predicted),1978,N/A,Male,
Loomis Group,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Alf Göransson,Sweden (predicted),1957,Business,Male,
Loomis Group,Board of Directors,Audit Committee Chair,Board Member,Board Member,Cecilia Daun Wennborg,Sweden (predicted),1963,Business,Female,
Loomis Group,Board of Directors,Member of the Audit Committee,Board Member,Board Member,Lars Blecko,Sweden (predicted),1957,N/A,Male,
Loomis Group,Board of Directors,Member of the Audit Committee,Board Member,Board Member,Johan Lundberg,Sweden (predicted),1977,Business,Male,
Loomis Group,Board of Directors,Member of the Remuneration Committee,Board Member,Board Member,Jeanette Almberg,Sweden (predicted),1965,Business,Female,
Loomis Group,Board of Directors,Board Member,Board Member,Board Member,Liv Forhaug,Sweden (predicted),1970,Business,Female,
Loomis Group,Board of Directors,Board Member,Board Member,Board Member,Santiago Galaz,Spain (predicted),1959,Business,Male,
Loomis Group,Executive Management,President & CEO,CEO,CEO,Aritz Larrea,Spain (predicted),1973,Business,Male,
Loomis Group,Executive Management,Chief Financial Officer (CFO),Support Function,Finance,Johan Wilsby,Sweden (predicted),1966,Business,Male,
Loomis Group,Executive Management,"President and CEO, Europe & Latin America",Business Unit Head,Other: Europe & Latin America,Georges López,France (predicted),1965,Business,Male,
Loomis Group,Executive Management,"President and CEO, USA",Business Unit Head,Other: USA,Björn Züger,Switzerland (predicted),1970,Business,Male,
Loomis Group,Executive Management,Chief HR & Marketing Officer,Support Function,"HR, Comms & Marketing",Márten Lundberg,Sweden (predicted),1965,"Human Resources, Business",Male,
Loomis Group,Executive Management,Chief Risk Officer,Support Function,Legal Affairs,Athina Pehrman,Sweden (predicted),1970,Law,Female,
Loomis Group,Executive Management,Chief Legal Officer,Support Function,Legal Affairs,Erik Åslund,Sweden (predicted),1982,Law,Male,
Lundbergföretagen,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Bo Selling,Sweden (predicted),1958,Engineering,Male,
Lundbergföretagen,Board of Directors,Board Member,Board Member,Board Member,Carl Bennet,Sweden (predicted),1951,Business,Male,
Lundbergföretagen,Board of Directors,Board Member,Board Member,Board Member,Sofia Frändberg,Sweden (predicted),1964,Law,Female,
Lundbergföretagen,Board of Directors,Board Member,Board Member,Board Member,Louise Lindh,Sweden (predicted),1979,Business,Female,
Lundbergföretagen,Board of Directors,"President and CEO, Board of Directors Member",Board Member,Board Member,Fredrik Lundberg,Sweden (predicted),1951,"Business, Engineering",Male,
Lundbergföretagen,Board of Directors,Board Member,Board Member,Board Member,Katarina Martinson,Sweden (predicted),1981,Business,Female,
Lundbergföretagen,Board of Directors,Board Member,Board Member,Board Member,Krister Mattsson,Sweden (predicted),1956,Business,Male,
Lundbergföretagen,Board of Directors,Board Member,Board Member,Board Member,Sten Peterson,Sweden (predicted),1956,Engineering,Male,
Lundbergföretagen,Board of Directors,Board Member,Board Member,Board Member,Lars Pettersson,Sweden (predicted),1954,Engineering,Male,
Lundbergföretagen,Executive Management,President and CEO,CEO,CEO,Fredrik Lundberg,Sweden (predicted),1951,"Business, Engineering",Male,
Lundbergföretagen,Executive Management,Executive Vice President,Business Unit Head,Other: President of L E Lundberg Kapitalförvaltning AB,Claes Boustedt,Sweden (predicted),1962,Business,Male,
Lundbergföretagen,Executive Management,Chief Financial Officer (CFO),Support Function,Finance,Lars Johansson,Sweden (predicted),1966,Business,Male,
Lundin Gold Inc.,Board of Directors,Chair,Chair,Chair,Jack Lundin,Canada (predicted),N/A,"Business, Engineering",Male,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Ron F. Hochstein,Canada (predicted),N/A,"Business, Engineering",Male,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Carmel Daniele,Australia (predicted),N/A,"Business, Law",Female,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Dr. Gillian Davidson,UK (predicted),N/A,"Humanities, Sciences",Female,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Ian Gibbs,Canada (predicted),N/A,Business,Male,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Melissa Harmon,USA (predicted),N/A,"Engineering, Business",Female,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Ashley Heppenstall,UK (predicted),N/A,Sciences,Male,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Scott Langley,USA (predicted),N/A,Business,Male,
Lundin Gold Inc.,Board of Directors,Board Member,Board Member,Board Member,Angelina Mehta,Canada (predicted),N/A,"Engineering, Business, Law",Female,
Lundin Gold Inc.,Executive Management,"President, CEO & Director",CEO,CEO,Ron F. Hochstein,Canada (predicted),N/A,"Business, Engineering",Male,
Lundin Gold Inc.,Executive Management,Chief Financial Officer (CFO),Support Function,Finance,Chester See,Canada (predicted),N/A,Business,Male,
Lundin Gold Inc.,Executive Management,Chief Operating Officer (COO),Business Unit Head,Other: COO,Terry Smith,Canada (predicted),N/A,Engineering,Male,
Lundin Gold Inc.,Executive Management,"VP, Legal & Sustainability & Corporate Secretary",Support Function,Legal Affairs,Sheila Colman,Canada (predicted),N/A,"Law, Business",Female,
Lundin Gold Inc.,Executive Management,"Vice President, Exploration",Business Unit Head,"Other: Vice President, Exploration",Andre Oliveira,Brazil (predicted),N/A,"Sciences, Business",Male,
Lundin Mining Corporation,Board of Directors,Chair,Chair,Chair,Adam Lundin,Canada (predicted),N/A,Business,Male,
Lundin Mining Corporation,Board of Directors,Lead Director,Board Member,Board Member,C. Ashley Heppenstall,UK (predicted),N/A,Sciences,Male,
Lundin Mining Corporation,Board of Directors,Board Member,Board Member,Board Member,Donald Charter,Canada (predicted),N/A,"Business, Law",Male,
Lundin Mining Corporation,Board of Directors,Board Member,Board Member,Board Member,Juliana L. Lam,Canada (predicted),N/A,Business,Female,
Lundin Mining Corporation,Board of Directors,President & CEO,CEO,CEO,Jack Lundin,Canada (predicted),N/A,"Business, Engineering",Male,
Lundin Mining Corporation,Board of Directors,Board Member,Board Member,Board Member,Dale C. Peniuk,Canada (predicted),N/A,Business,Male,
Lundin Mining Corporation,Board of Directors,Board Member,Board Member,Board Member,Maria Olivia Recart,Chile (predicted),N/A,"Business, Law",Female,
Lundin Mining Corporation,Board of Directors,Board Member,Board Member,Board Member,Natasha Vaz,Canada (predicted),N/A,"Engineering, Business",Female,
Lundin Mining Corporation,Executive Management,"President, CEO & Director",CEO,CEO,Jack Lundin,Canada (predicted),N/A,"Business, Engineering",Male,
Lundin Mining Corporation,Executive Management,"Executive Vice President, CFO",Support Function,Finance,Teitur Poulsen,Denmark (predicted),N/A,Business,Male,
Lundin Mining Corporation,Executive Management,"Executive Vice President, COO",Business Unit Head,Other: COO,Juan Andrés Morel,Chile (predicted),N/A,Engineering,Male,
Lundin Mining Corporation,Executive Management,"Executive Vice President, General Counsel",Support Function,Legal Affairs,Peter Brady,Canada (predicted),N/A,Law,Male,
